SONY,1.02,17.63B,115.89B,After Market Close,Monday, July 31, 2023
SMFG,0.2255,6.08B,62.40B,After Market Close,Monday, July 31, 2023
HEINY,1.15,9.07B,60.58B,Before Market Open,Monday, July 31, 2023
RSG,1.32,3.73B,47.89B,After Market Close,Monday, July 31, 2023
ANET,1.44,1.38B,46.58B,After Market Close,Monday, July 31, 2023
ON,1.21,2.02B,45.39B,Before Market Open,Monday, July 31, 2023
MFG,0.0891,4.31B,42.64B,After Market Close,Monday, July 31, 2023
HOCPY,0.8797,1.29B,40.72B,After Market Close,Monday, July 31, 2023
WELL,0.1613,1.58B,40.26B,After Market Close,Monday, July 31, 2023
JAPAY,0.2746,4.99B,39.38B,Before Market Open,Monday, July 31, 2023
PPERY,0.1714,2.25B,35.09B,After Market Close,Monday, July 31, 2023
FANG,3.94,1.92B,31.97B,After Market Close,Monday, July 31, 2023
MIELY,0.3753,8.49B,30.36B,After Market Close,Monday, July 31, 2023
PCRFY,0.2071,14.49B,28.77B,After Market Close,Monday, July 31, 2023
LGRDY,0.2617,2.41B,26.66B,Before Market Open,Monday, July 31, 2023
AVB,1.13,679.81M,26.4B,After Market Close,Monday, July 31, 2023
MPWR,2.8,440.6M,25.87B,After Market Close,Monday, July 31, 2023
YUMC,0.4562,2.72B,24.92B,After Market Close,Monday, July 31, 2023
SBAC,1.21,676.6M,23.71B,After Market Close,Monday, July 31, 2023
SYM,-0.0224,261.04M,23.49B,Before Market Open,Monday, July 31, 2023
OTSKY,0.2683,3.3B,20.54B,After Market Close,Monday, July 31, 2023
HOLX,0.8894,959.92M,19.86B,After Market Close,Monday, July 31, 2023
KYOCY,0.6008,3.4B,19.01B,After Market Close,Monday, July 31, 2023
PTAIY,0.2773,--,18.31B,After Market Close,Monday, July 31, 2023
BMRN,0.2256,595.22M,16.44B,After Market Close,Monday, July 31, 2023
EBKDY,0.8763,2.84B,15.36B,Before Market Open,Monday, July 31, 2023
AER,2,1.83B,15.32B,Before Market Open,Monday, July 31, 2023
SUTNY,--,--,14.20B,After Market Close,Monday, July 31, 2023
L,--,--,14.17B,Before Market Open,Monday, July 31, 2023
WDC,-2.02,2.53B,13.45B,After Market Close,Monday, July 31, 2023
LSCC,0.51,188.08M,12.52B,After Market Close,Monday, July 31, 2023
SGIOY,0.2818,697.81M,12.35B,Before Market Open,Monday, July 31, 2023
CNA,1.15,3.26B,10.82B,Before Market Open,Monday, July 31, 2023
ZI,0.2313,310.94M,10.37B,After Market Close,Monday, July 31, 2023
RRX,2.46,1.77B,10.19B,After Market Close,Monday, July 31, 2023
AETUF,0.302,836.9M,9.18B,After Market Close,Monday, July 31, 2023
SOFI,-0.0651,475.87M,8.99B,Before Market Open,Monday, July 31, 2023
OPHLY,0.1666,851.51M,8.99B,After Market Close,Monday, July 31, 2023
CAR,9.44,3.21B,8.84B,After Market Close,Monday, July 31, 2023
DSEEY,--,--,7.85B,After Market Close,Monday, July 31, 2023
MKTAY,0.1402,1.29B,7.60B,After Market Close,Monday, July 31, 2023
THC,1.25,4.91B,7.58B,After Market Close,Monday, July 31, 2023
TREX,0.5368,318.89M,7.54B,After Market Close,Monday, July 31, 2023
TIMB,0.1809,1.17B,7.4B,After Market Close,Monday, July 31, 2023
AMKR,0.2079,1.48B,7.28B,After Market Close,Monday, July 31, 2023
WWD,0.996,703.49M,7.16B,After Market Close,Monday, July 31, 2023
DV,0.1334,133.27M,6.9B,After Market Close,Monday, July 31, 2023
RMBS,0.3897,137.99M,6.81B,After Market Close,Monday, July 31, 2023
BRX,0.2143,305.97M,6.77B,After Market Close,Monday, July 31, 2023
MSA,1.47,421.14M,6.55B,After Market Close,Monday, July 31, 2023
RIG,-0.1396,731.89M,6.55B,After Market Close,Monday, July 31, 2023
EGFEY,0.0322,731.38M,6.46B,After Market Close,Monday, July 31, 2023
MLCO,-0.0547,919.17M,5.83B,After Market Close,Monday, July 31, 2023
SON,1.48,1.87B,5.77B,After Market Close,Monday, July 31, 2023
UNVR,0.7199,2.77B,5.67B,After Market Close,Monday, July 31, 2023
HUN,0.3001,1.7B,5.39B,After Market Close,Monday, July 31, 2023
TOTDY,0.1801,1.14B,5.26B,After Market Close,Monday, July 31, 2023
KRG,-0.003,188.14M,5.08B,After Market Close,Monday, July 31, 2023
IMGN,-0.1345,49.15M,5B,Before Market Open,Monday, July 31, 2023
BPIRY,0.1529,641.94M,4.77B,After Market Close,Monday, July 31, 2023
AJRD,0.4767,574.85M,4.67B,After Market Close,Monday, July 31, 2023
VNO,0.0954,441.76M,4.55B,After Market Close,Monday, July 31, 2023
OGS,0.585,397.88M,4.39B,After Market Close,Monday, July 31, 2023
VNOM,0.3167,160.94M,4.33B,After Market Close,Monday, July 31, 2023
PCH,0.0675,236.3M,4.22B,After Market Close,Monday, July 31, 2023
KRC,0.3578,280.08M,4.21B,After Market Close,Monday, July 31, 2023
